key_code,timing_ms,absolut_ms,coord_X,coord_Y
LBUTTON,0,1,194,658
LBUTTON,2468,6489,449,460
LBUTTON,516,10377,704,654
h,1203,14410
 ,860,15588
t,2109,17868
h,125,18022
e,344,18385
 ,156,18575
i,719,19334
d,188,19546
i,171,19738
o,938,20687
t,328,21043
1xBACK,797,21899
2xBACK,203,22139
3xBACK,110,22306
4xBACK,141,22499
5xBACK,157,22688
6xBACK,172,22909
7xBACK,140,23075
8xBACK,156,23256
9xBACK,157,23436
LBUTTON,719,24187,654,637
key_code,timing_ms,absolut_ms,coord_X,coord_Y
LBUTTON,515,26572,1042,96
key_code,timing_ms,absolut_ms,coord_X,coord_Y
LBUTTON,546,29479,275,295
key_code,timing_ms,absolut_ms,coord_X,coord_Y
LBUTTON,1453,33500,844,255
LBUTTON,2953,42678,321,758
key_code,timing_ms,absolut_ms,coord_X,coord_Y
LBUTTON,1641,46648,429,555
d,46,48228
v,31,48335
l,46,48489
n,0,48598
c,234,48958
a,31,49112
p,438,49645
k,125,49820
f,16,49874
e,343,50238
k,328,50615
k,250,50939
s,203,51165
,125,51406
 ,328,51759
J,31,51844
,235,52142
V,344,52512
j,0,52557
LBUTTON,1031,53615,679,522
RBUTTON,562,55750,685,550
LBUTTON,219,57802,690,550
1xBACK,0,59841
2xBACK,110,59972
3xBACK,0,60064
4xBACK,0,60134
5xBACK,0,60231
6xBACK,0,60337
7xBACK,0,60468
8xBACK,0,60549
9xBACK,0,60686
:xBACK,0,60817
;xBACK,0,61004
<xBACK,0,61076
=xBACK,0,61160
>xBACK,156,61369
?xBACK,125,61586
@xBACK,625,62247
AxBACK,0,62287
BxBACK,0,62327
CxBACK,16,62377
DxBACK,0,62434
ExBACK,0,62455
FxBACK,0,62499
GxBACK,0,62545
HxBACK,0,62575
IxBACK,157,62759
JxBACK,203,63002
KxBACK,391,63421
LBUTTON,2610,66065,707,394
key_code,timing_ms,absolut_ms,coord_X,coord_Y
LBUTTON,0,67659,278,758
key_code,timing_ms,absolut_ms,coord_X,coord_Y
c,22813,93390
n,0,93415
v,62,93493
 ,0,93517
m,157,93689
 ,547,94245
a,156,94429
d,0,94458
 ,0,94482
m,0,94500
m,157,94694
 ,16,94721
s,125,94882
n,16,94939
 ,63,95050
m,109,95168
a,31,95221
 ,109,95360
n,16,95398
s,78,95494
k,0,95524
,0,95546
N,0,95565
V,31,95615
p,31,95675
,0,95712
L,16,95744
D,0,95762
x,16,95803
RETURN,0,95822
 ,62,95901
n,31,95951
LBUTTON,1515,97488,287,238
RETURN,766,99337
key_code,timing_ms,absolut_ms,coord_X,coord_Y
LBUTTON,9563,108945,520,622
LBUTTON,515,111038,410,632
d,0,112991
v,0,113040
d,1421,114491
q,0,114560
w,0,114600
d,0,114700
f,0,114762
e,0,114844
k,0,114874
p,0,114899
v,0,114940
b,0,114981
a,0,115133
b,0,115181
v,0,115224
1,359,115633
k,62,115736
2,47,115804
3,47,115876
k,93,115986
4,0,116007
4,141,116173
k,579,116807
v,828,117659
j,15,117737
d,125,117908
n,0,117967
v,0,118008
p,47,118093
f,0,118146
n,0,118198
b,0,118232
5,547,118791
4,63,118895
0,172,119098
6,110,119213
6,875,120140
9,31,120212
4,0,120239
LBUTTON,1672,121922,754,625
LBUTTON,531,124089,278,760
